,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,EMA_200,EMA_50,EMA50,EMA200,RSI,CCI,MACD,Signal,DIplus,DIminus,ADX,MFI,BBr,cumdelta_rsi,ROC,stoch_rsi_k,stoch_rsi_d,ParabolicSAR_Signal,cross,result
27071,27071,1672363200,1.06578,1.06578,1.06557,1.0656,2136,19,320400000,1.06553,1.06637,1.06637,1.06553,24.2685,-374.5583,-0.0001918,-0.0001882,11.26337,35.14905,25.29434,31.06108,0.16777,32.08542,-0.04315,0.0,20.32067,1,2,loss
27093,27093,1672369800,1.06605,1.06619,1.0657,1.06576,2561,13,384150000,1.06563,1.0662,1.0662,1.06563,42.70129,-70.98849,4.3e-06,6e-06,19.43761,29.20898,19.80568,35.64657,0.19054,41.09988,-0.0572,17.16724,45.274,1,2,loss
27102,27102,1672372500,1.06607,1.06613,1.06594,1.06599,2553,13,382950000,1.06566,1.06613,1.06613,1.06566,48.40044,-19.5258,-2.33e-05,-2.31e-05,15.81186,16.60409,12.20248,43.67246,0.43525,42.93033,-0.07312,27.35671,27.3188,1,2,win
27127,27127,1672380000,1.06584,1.06584,1.06554,1.06556,2508,13,376200000,1.0657,1.06594,1.06594,1.0657,40.75163,-92.93504,-1.09e-05,1.13e-05,11.21603,24.62187,24.26463,43.24071,0.18031,43.92773,-0.01408,8.45446,25.15847,1,2,win
27135,27135,1672382400,1.06586,1.06588,1.06561,1.06569,2484,13,372600000,1.0657,1.06589,1.06589,1.0657,45.07639,-60.06893,-3.48e-05,-2.99e-05,12.69237,18.61855,18.0057,56.76085,0.2998,58.75607,-0.0394,40.78268,41.9119,1,2,win
27150,27150,1672386900,1.06544,1.06544,1.06418,1.06427,2855,5,428250000,1.06566,1.06567,1.06567,1.06566,23.02127,-401.54555,-0.0001683,-9.41e-05,9.77476,26.78735,22.67935,53.77214,-0.39414,44.60082,-0.11263,35.9284,60.07358,1,2,loss
27191,27191,1672399200,1.06672,1.06675,1.06602,1.06611,2845,5,426750000,1.06557,1.06568,1.06568,1.06557,52.15268,21.08269,0.0004453,0.0004703,22.41568,20.02279,38.76279,64.01833,0.49856,53.03145,0.00375,10.69073,13.0383,1,2,loss
27222,27222,1672408500,1.06799,1.06822,1.06748,1.06756,2850,5,427500000,1.06602,1.067,1.067,1.06602,49.40521,-4.52401,0.0005644,0.0006245,28.84476,24.73698,50.39861,56.53375,0.44648,56.35273,0.06186,9.207,36.52241,1,2,loss
27263,27263,1672420800,1.06822,1.06844,1.06766,1.06783,2947,5,442050000,1.0665,1.06746,1.06746,1.0665,50.71728,23.28686,0.0003024,0.0003036,19.71814,26.51767,18.31011,57.02318,0.51963,44.36878,0.07122,32.55066,31.65084,1,2,loss
27296,27296,1672430700,1.07071,1.07079,1.07034,1.07047,2936,5,440400000,1.06722,1.06891,1.06891,1.06722,60.21486,56.95413,0.0006991,0.0007004,21.21217,8.87604,55.56773,64.22411,0.60415,59.51938,0.00934,28.39743,52.40427,1,2,loss
27337,27337,1672443000,1.07036,1.07036,1.07018,1.07021,2255,19,338250000,1.06824,1.06998,1.06998,1.06824,50.06801,33.41783,5.05e-05,5.4e-05,17.89689,22.20492,15.70009,52.09181,0.55209,54.57277,-0.0028,26.76108,34.87463,0,2,win
27389,27389,1672631400,1.07023,1.07027,1.06901,1.06989,305,31,45750000,1.06882,1.06984,1.06984,1.06882,48.06308,-72.13165,0.0001586,0.0001882,14.50391,24.50126,24.13327,50.32447,0.40571,39.01314,0.0,34.96113,56.45479,1,2,win
27428,27428,1672643100,1.06989,1.06989,1.06937,1.06939,558,13,83700000,1.06899,1.06954,1.06954,1.06899,42.2773,-14.39439,0.0001245,0.0001446,15.60645,33.44304,22.54129,42.33502,0.38492,60.80126,-0.02805,41.27588,58.21228,1,2,loss
