,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,EMA_200,EMA_50,EMA50,EMA200,RSI,CCI,MACD,Signal,DIplus,DIminus,ADX,MFI,BBr,cumdelta_rsi,ROC,stoch_rsi_k,stoch_rsi_d,ParabolicSAR_Signal,cross,result
54471,54471,1683873900,1.09186,1.09205,1.09178,1.09203,1213,13,181950000,1.0923,1.09186,1.09186,1.0923,54.73575,5.91466,-1.45e-05,-1.58e-05,18.555,22.50304,27.14919,49.09209,0.58808,52.4931,0.02198,85.05477,68.49605,0,1,win
54490,54490,1683879600,1.09248,1.09262,1.09246,1.09259,1670,13,250500000,1.09231,1.09213,1.09213,1.09231,62.45503,144.07554,0.0001097,0.0001055,28.19219,15.28991,22.3096,44.86567,0.71935,60.78287,0.01739,51.83692,28.53494,0,1,loss
54505,54505,1683884100,1.09277,1.09312,1.09277,1.09303,1783,6,267450000,1.09234,1.09233,1.09233,1.09234,64.93944,144.69697,0.0001086,7.97e-05,32.07039,13.70388,23.63052,72.45061,0.99052,71.05116,0.03203,68.39042,56.37225,0,1,loss
54533,54533,1683892500,1.09088,1.09135,1.09081,1.09128,2079,5,311850000,1.09223,1.09188,1.09188,1.09223,44.07912,-33.234,-0.0004163,-0.0004248,18.10171,13.97234,22.10549,33.55405,0.45,49.6384,0.05318,67.02578,46.04535,0,1,loss
54540,54540,1683894600,1.09078,1.09086,1.09052,1.09058,2049,5,307350000,1.09213,1.09161,1.09161,1.09213,39.96468,-70.17544,-0.0003832,-0.0003861,17.71126,21.40144,21.10833,41.38279,0.43631,41.07162,-0.04125,34.35198,30.8427,1,1,loss
54543,54543,1683895500,1.09033,1.09078,1.09032,1.09054,2261,5,339150000,1.09208,1.09148,1.09148,1.09208,41.01394,-72.57384,-0.0003738,-0.0003832,13.26851,22.42403,23.34178,49.28003,0.41089,40.9456,-0.03392,40.09805,42.12987,1,1,loss
54580,54580,1683906600,1.08868,1.08891,1.08862,1.08878,2336,6,350400000,1.09136,1.08992,1.08992,1.09136,39.4634,-58.41905,-0.0004562,-0.0004802,11.32277,19.83879,42.47239,41.21687,0.43943,49.80881,-0.03856,89.48141,59.09429,1,1,loss
54591,54591,1683909900,1.08801,1.08863,1.088,1.08857,2714,5,407100000,1.09108,1.08947,1.08947,1.09108,44.86586,-94.22694,-0.0003084,-0.0003186,14.46328,19.02688,29.90005,49.60371,0.44667,48.23564,-0.0101,51.97223,58.51791,1,1,win
54619,54619,1683918300,1.08541,1.08546,1.08529,1.08541,2101,5,315150000,1.09003,1.08748,1.08748,1.09003,26.91179,-102.54888,-0.0007025,-0.0007081,5.50665,30.06028,62.48495,22.18463,0.34982,37.66287,-0.06261,54.99696,53.96159,1,1,loss
54678,54678,1684108800,1.08611,1.08611,1.0851,1.08526,178,22,26700000,1.08784,1.08531,1.08531,1.08784,58.10761,218.17888,-5.93e-05,-8.25e-05,20.7343,20.29559,37.24937,24.81119,0.87345,44.61243,0.02765,48.99494,32.81808,0,1,loss
54699,54699,1684115100,1.085,1.08516,1.08498,1.08514,721,19,108150000,1.08733,1.0852,1.0852,1.08733,51.869,-14.91396,-1.97e-05,-2.51e-05,17.83423,14.17402,16.17248,59.47188,0.51103,48.79803,-0.01843,68.48164,66.46538,1,1,win
54705,54705,1684116900,1.08506,1.08512,1.08501,1.0851,1007,19,151050000,1.08719,1.08515,1.08515,1.08719,51.55959,20.58013,-2.6e-05,-3.01e-05,20.38575,18.73907,14.86745,69.16097,0.57659,55.22417,0.00737,86.20523,73.57479,1,1,win
54725,54725,1684122900,1.08519,1.08528,1.08503,1.08523,1912,13,286800000,1.08682,1.08513,1.08513,1.08682,54.60462,59.04908,1.17e-05,2.8e-06,15.22891,15.31119,11.23147,68.16394,0.72119,56.22196,0.00369,47.97035,40.71027,0,1,win
54754,54754,1684131600,1.0859,1.08598,1.08586,1.08593,1097,13,164550000,1.08656,1.08558,1.08558,1.08656,58.52609,54.90353,7.75e-05,7.31e-05,26.8838,12.54249,20.9239,48.74423,0.61954,61.34146,0.03501,92.94906,78.20289,0,1,win
54768,54768,1684135800,1.08607,1.08617,1.08605,1.08612,1016,13,152400000,1.08647,1.08573,1.08573,1.08647,61.95533,146.69203,7.63e-05,6.65e-05,29.32435,18.82436,20.17018,49.80593,0.84085,58.8154,0.00368,86.69261,58.85811,0,1,win
54773,54773,1684137300,1.08578,1.08627,1.08578,1.08623,1336,13,200400000,1.08645,1.08578,1.08578,1.08645,60.92839,102.42391,7.8e-05,7.26e-05,21.98138,23.44123,15.27612,44.05357,0.91111,54.4389,0.02763,54.25397,59.53811,0,1,win
54798,54798,1684144800,1.08691,1.08713,1.08688,1.08704,2525,5,378750000,1.08648,1.0863,1.0863,1.08648,62.98175,153.21417,0.0001242,0.0001136,32.26437,16.24691,23.39226,57.2117,0.77953,59.81641,0.04141,57.78552,44.87357,0,1,loss
54803,54803,1684146300,1.08673,1.08713,1.08672,1.08712,2228,5,334200000,1.0865,1.08638,1.08638,1.0865,60.98338,112.57025,0.0001304,0.0001151,28.13324,16.97841,17.04706,49.24745,0.84267,60.38858,0.05983,59.70138,47.58434,0,1,loss
54817,54817,1684150500,1.08745,1.08775,1.08725,1.08765,1968,6,295200000,1.08662,1.08685,1.08685,1.08662,60.7989,70.29741,0.0002529,0.0002525,21.28747,17.86048,20.71316,63.97687,0.70254,61.83978,0.01379,20.11931,29.85341,1,1,loss
54832,54832,1684155000,1.08647,1.08685,1.08643,1.08681,2046,5,306900000,1.08659,1.08665,1.08665,1.08659,52.77896,-3.62361,-0.0001593,-0.0001797,29.90133,15.25666,33.83736,40.99034,0.53409,53.12184,-0.0046,79.22641,65.84211,0,1,win
54864,54864,1684164600,1.08795,1.08901,1.08795,1.08826,2847,5,427050000,1.08683,1.08728,1.08728,1.08683,68.02636,375.86096,0.0001649,0.0001541,28.49381,11.85061,28.36429,64.57472,0.95812,61.56292,0.06804,65.63622,40.56578,0,1,loss
54881,54881,1684169700,1.08773,1.0881,1.08772,1.08788,2557,5,383550000,1.08697,1.08749,1.08749,1.08697,53.89832,56.03039,7.7e-05,7.53e-05,21.88706,11.5305,18.15976,64.29944,0.66754,55.2982,0.0046,72.31472,67.27099,1,1,loss
54898,54898,1684174800,1.08718,1.08733,1.08707,1.0871,2161,5,324150000,1.08699,1.08728,1.08728,1.08699,48.03282,-14.98127,-0.0001666,-0.0001715,22.10729,16.60801,17.84606,47.96806,0.44355,48.98174,0.02392,90.5348,73.42418,0,1,win
54915,54915,1684179900,1.08691,1.08722,1.08683,1.08715,1699,5,254850000,1.087,1.08717,1.08717,1.087,51.43895,-14.97909,-5.99e-05,-7.02e-05,12.20979,9.63334,16.05406,49.57497,0.61996,49.59328,-0.01839,44.08341,28.69817,1,1,win
54950,54950,1684190400,1.08745,1.08762,1.08745,1.0876,1819,13,272850000,1.08716,1.08742,1.08742,1.08716,58.24047,107.48345,1.17e-05,7.3e-06,21.9336,14.92187,20.41923,51.86955,0.8281,61.86239,0.0092,79.12413,80.66563,0,1,loss
54973,54973,1684197300,1.08732,1.08732,1.08729,1.08729,167,24,25050000,1.0872,1.08738,1.08738,1.0872,44.38014,-45.40541,-3.99e-05,-4.01e-05,15.72826,9.18898,18.97284,50.53601,0.37771,57.39867,-0.00276,55.9707,49.00216,1,1,win
54992,54992,1684203000,1.08737,1.08749,1.08737,1.08749,528,19,79200000,1.08724,1.08741,1.08741,1.08724,54.88705,26.12152,2.39e-05,2.36e-05,15.41135,13.92911,36.23525,46.95846,0.68025,55.00021,0.00644,13.46124,20.36955,1,1,loss
55003,55003,1684206300,1.08745,1.08754,1.08739,1.08754,1190,13,178500000,1.08725,1.0874,1.0874,1.08725,59.81361,72.78653,-1.3e-06,-6e-06,16.01737,20.92197,31.55776,37.60634,0.83153,62.25084,0.01563,60.71689,30.52889,0,1,loss
55032,55032,1684215000,1.08753,1.08783,1.08748,1.08783,1593,13,238950000,1.08735,1.08754,1.08754,1.08735,57.25864,32.87218,-5.35e-05,-5.63e-05,29.1836,11.8885,29.33761,48.20365,0.66717,62.41299,0.03034,80.03196,55.94363,0,1,loss
55060,55060,1684223400,1.08826,1.08829,1.0882,1.08826,914,13,137100000,1.08754,1.08794,1.08794,1.08754,60.15693,104.39276,8.59e-05,8.5e-05,27.75963,8.26871,35.93124,55.58041,0.70629,70.27602,0.00735,92.04633,81.95205,0,1,loss
55083,55083,1684230300,1.08706,1.08747,1.08697,1.08737,2179,5,326850000,1.08747,1.08745,1.08745,1.08747,52.55116,25.49443,-0.0002574,-0.0003039,23.68068,14.90646,39.7012,40.98318,0.59779,51.84388,-0.00644,90.75397,74.45436,0,1,win
55111,55111,1684238700,1.08945,1.09039,1.0894,1.09005,2390,5,358500000,1.08779,1.08846,1.08846,1.08779,67.73294,165.04112,0.0004318,0.0004269,31.51878,21.71234,35.52833,57.54203,0.75371,59.23719,0.11481,42.54598,19.43309,0,1,loss
55158,55158,1684252800,1.08809,1.08862,1.08803,1.08861,2642,6,396300000,1.08821,1.08865,1.08865,1.08821,51.61491,6.69924,-0.0002672,-0.0003098,28.14035,20.72069,30.18499,42.53789,0.58469,58.87306,0.00735,91.94064,85.2147,1,1,loss
55164,55164,1684254600,1.08746,1.08839,1.08729,1.08827,2840,6,426000000,1.0882,1.08849,1.08849,1.0882,49.90339,-22.85018,-0.0002573,-0.0002731,24.66723,18.49689,20.02133,50.54049,0.57367,51.77129,0.09934,69.0522,64.60164,0,1,loss
55187,55187,1684261500,1.08608,1.08642,1.08604,1.08633,2399,5,359850000,1.0879,1.08737,1.08737,1.0879,44.23904,-50.88542,-0.0004802,-0.000484,22.31661,19.23164,31.85683,56.86041,0.44037,49.179,-0.06807,70.52484,50.77461,1,1,loss
